id,title,hook_opening,premise,status,notes
1,The Note on the Windshield,"The note under Maya's wiper said 'you forgot to lock the back door.' She lived on the fourth floor.","A woman finds a handwritten note that's correct about something no one should know. Introduces the recurring 'notes that predict things' motif. Ends: a second note is already waiting inside her apartment.",queued,season-opener
2,The Coworker Nobody Remembered,"On Monday, Tom asked where Dan sat. Three people told him Dan had never worked there.","A coworker someone spoke to for months is gone and erased from everyone's memory but one person's. Ends: the security log lists Tom's name on it twice.",queued,
3,The Apartment That Knew Her Schedule,"The hallway light only came on when Priya was home. She'd never told the landlord her hours.","Small wrongnesses in a new apartment imply someone is tracking the tenant's routine. Ends: she comes home early and the light is already on.",queued,
4,The Night-Shift Caller,"Every night at 3:14, the gas station phone rang. For a week, the clerk didn't answer it.","Recurring night-shift setting. The call is always the same three words. Ends: the night he finally answers, the voice uses his name.",queued,nightshift-thread
5,The Photo He Didn't Take,"There was a picture on Eli's phone of himself sleeping. He lived alone.","Grounded paranoia about being watched inside one's own home. Ends: the timestamp is from a night he wasn't home.",queued,
6,The Woman Who Returned the Wallet,"She handed back the wallet Jonah lost in 2019 — in a city he'd never lived in.","A kind stranger who knows an impossible amount about a man's past. Ends: she says 'you dropped it the first time, too.'",queued,
7,The Door at the End of the Hall,"Their building had fourteen apartments. The numbers went up to fifteen.","A door that's always been there but no one will discuss. Liminal dread, fully grounded. Ends: one night, it's open.",queued,
8,The Texts From Her Own Number,"Sara's phone buzzed. The message was from her, and she hadn't sent it.","Texts arrive from a woman's own number, narrating what she's doing. Ends: the latest one reads 'stop reading these and turn around.'",queued,
9,The Patient in Room 6,"Room 6 had been empty all week. The chart still updated every night at midnight.","Hospital night-shift story. A discharged patient's records keep changing on their own. Ends: the newest entry lists the night nurse as next of kin.",queued,nightshift-thread
10,The Last Note,"The final note didn't predict anything. It just said 'thank you for keeping them.'","Ties the 'notes' motif together without fully resolving it. Ends: a brand-new note appears, in Maya's own handwriting, that she doesn't remember writing.",queued,season-finale payoff for ep1
